txn_id,chargeback_count,chargeback_amount,open_chargebacks,critical_chargebacks,max_chargeback_severity
TXN00001826,1,895.55,1,0,MEDIUM
TXN00001829,1,3042.0,1,0,HIGH
TXN00001838,1,422.0,0,0,LOW
TXN00001839,2,2143.84,0,0,MEDIUM
TXN00001860,1,,1,0,LOW
TXN00001878,1,3834.0,1,0,HIGH
TXN00001882,1,2264.22,0,0,MEDIUM
TXN00001893,1,1059.97,0,0,LOW
TXN00001898,1,638.96,0,0,MEDIUM
TXN00001903,1,2512.35,0,1,CRITICAL
TXN00001919,1,1859.77,0,0,LOW
TXN00001929,1,1412.21,1,0,LOW
TXN00001948,2,12232.05,0,0,LOW
TXN00001962,1,,0,0,MEDIUM
TXN00001975,3,4591.32,1,0,HIGH
TXN00001983,1,1315.22,0,0,HIGH
TXN00002006,1,637.05,1,0,MEDIUM
TXN00002013,1,439.0,0,0,MEDIUM
TXN00002015,1,2615.98,1,1,CRITICAL
TXN00002022,1,7834.45,0,0,HIGH
TXN00002045,2,6288.54,2,0,MEDIUM
TXN00002053,1,2130.67,1,0,MEDIUM
TXN00002058,1,,0,0,LOW
TXN00002078,1,6907.46,0,0,LOW
TXN00002091,1,497.48,0,0,HIGH
TXN00002106,1,,1,0,MEDIUM
TXN00002107,1,6251.19,0,0,HIGH
TXN00002114,1,4126.61,0,0,LOW
TXN00002125,1,2711.0,0,0,LOW
TXN00002139,1,,1,0,LOW
TXN00002141,2,7027.39,1,0,HIGH
TXN00002142,1,13132.36,0,0,HIGH
TXN00002147,1,1064.06,0,0,HIGH
TXN00002165,1,1048.77,0,0,MEDIUM
TXN00002169,1,,1,0,LOW
TXN00002173,1,856.42,1,0,LOW
TXN00002182,1,,0,0,LOW
TXN00002184,1,3019.75,0,0,MEDIUM
TXN00002195,1,4960.35,0,0,LOW
TXN00002200,1,3741.98,1,0,LOW
TXN00002204,1,455.59,1,0,HIGH
TXN00002207,1,,1,0,HIGH
TXN00002216,1,5160.27,0,0,LOW
TXN00002219,2,6254.38,2,0,HIGH
TXN00002228,1,378.3,1,0,HIGH
TXN00002240,1,401.02,0,0,MEDIUM
TXN00002263,1,9476.14,1,0,MEDIUM
TXN00002289,1,397.0,0,0,LOW
TXN00002301,1,769.17,1,0,LOW
TXN00002303,1,1712.22,1,0,LOW
TXN00002314,2,1230.65,1,0,HIGH
TXN00002316,1,20754.36,1,0,HIGH
TXN00002320,1,911.59,1,0,MEDIUM
TXN00002325,1,800.32,1,0,HIGH
TXN00002337,1,,0,1,CRITICAL
TXN00002347,1,1200.09,0,0,MEDIUM
TXN00002368,1,4581.54,1,0,LOW
TXN00002369,1,1718.0,1,0,LOW
TXN00002371,1,,0,0,MEDIUM
TXN00002374,1,1428.93,0,0,HIGH
TXN00002381,1,3182.0,1,0,MEDIUM
TXN00002382,1,44046.77,0,0,LOW
TXN00002386,1,4215.68,1,0,LOW
TXN00002417,1,3188.13,0,0,MEDIUM
TXN00002422,1,412.17,0,0,MEDIUM
TXN00002429,1,389.54,1,0,MEDIUM
TXN00002437,1,1368.83,1,0,HIGH
TXN00002450,1,896.7,1,0,MEDIUM
TXN00002451,1,,0,0,MEDIUM
TXN00002456,1,1805.23,1,0,LOW
TXN00002461,1,,0,0,LOW
TXN00002462,1,2723.0,0,0,HIGH
TXN00002466,1,3099.92,0,1,CRITICAL
TXN00002471,1,2207.71,0,0,HIGH
TXN00002480,1,5722.09,0,0,HIGH
TXN00002490,1,1170.0,0,0,LOW
TXN00002521,1,4940.0,0,0,HIGH
TXN00002522,1,877.59,0,0,MEDIUM
TXN00002531,1,1017.5,1,0,MEDIUM
TXN00002544,1,,0,0,LOW
TXN00002545,1,,1,0,MEDIUM
TXN00002546,1,6642.41,0,0,LOW
TXN00002574,1,660.0,1,0,LOW
TXN00002581,1,2926.63,1,0,HIGH
TXN00002595,1,,1,0,HIGH
TXN00002603,1,2150.04,1,0,MEDIUM
TXN00002609,1,3155.0,1,0,MEDIUM
TXN00002610,1,784.51,0,0,MEDIUM
TXN00002624,1,1274.21,0,0,MEDIUM
TXN00002630,1,,1,0,LOW
TXN00002655,1,338.23,1,0,MEDIUM
TXN00002668,1,551.59,0,0,HIGH
TXN00002672,1,4547.87,1,0,LOW
TXN00002674,1,1722.0,0,0,MEDIUM
TXN00002677,1,,1,0,MEDIUM
TXN00002679,1,1214.71,0,0,LOW
TXN00002689,1,2158.72,1,0,HIGH
TXN00002699,1,422.45,0,0,HIGH
TXN00002710,1,2072.0,0,0,LOW
TXN00002711,1,3969.0,0,0,LOW
TXN00002715,1,,0,0,HIGH
TXN00002716,2,17650.32,0,0,MEDIUM
TXN00002719,1,2881.81,0,0,LOW
TXN00002729,1,1526.62,1,0,LOW
TXN00002744,1,840.07,1,1,CRITICAL
TXN00002760,1,1345.79,0,0,LOW
TXN00002766,1,216.49,1,0,MEDIUM
TXN00002770,2,1004.64,2,0,MEDIUM
TXN00002775,3,15467.16,3,0,HIGH
TXN00002782,2,4480.1900000000005,1,0,HIGH
TXN00002783,1,447.3,0,0,MEDIUM
TXN00002790,1,870.0,0,0,MEDIUM
TXN00002791,1,15201.89,1,1,CRITICAL
TXN00002800,1,9291.46,0,0,LOW
TXN00002805,1,1623.96,0,0,MEDIUM
TXN00002808,1,604.93,1,0,MEDIUM
TXN00002821,1,4707.47,0,0,LOW
TXN00002822,2,,2,0,HIGH
TXN00002832,1,8214.17,0,0,MEDIUM
TXN00002853,1,1650.21,1,0,MEDIUM
TXN00002857,1,920.19,1,0,HIGH
TXN00002867,1,4361.29,1,0,LOW
TXN00002868,1,,1,0,HIGH
TXN00002874,1,634.21,0,0,LOW
TXN00002883,1,,1,1,CRITICAL
TXN00002894,1,,1,0,MEDIUM
TXN00002901,1,668.0,1,0,MEDIUM
TXN00002909,1,450.33,0,0,LOW
TXN00002919,1,4331.37,1,0,HIGH
TXN00002926,3,7854.99,1,1,CRITICAL
TXN00002930,1,1968.12,1,0,LOW
TXN00002933,1,1870.77,0,0,MEDIUM
TXN00002935,1,318.65,0,0,LOW
TXN00002955,1,4857.63,0,0,LOW
TXN00002981,1,7275.81,0,0,HIGH
TXN00003017,1,707.43,0,0,LOW
TXN00003020,1,2521.22,0,0,LOW
TXN00003032,1,988.93,0,0,HIGH
TXN00003041,1,4136.0,0,0,MEDIUM
TXN00003059,1,3807.73,0,0,HIGH
TXN00003072,1,3800.57,1,0,LOW
TXN00003075,1,2267.96,1,0,LOW
TXN00003076,1,342.0,1,0,MEDIUM
TXN00003088,1,1019.25,1,0,MEDIUM
TXN00003103,1,7765.0,0,0,LOW
TXN00003105,1,775.96,1,0,MEDIUM
TXN00003111,1,1858.78,0,0,LOW
TXN00003112,1,4974.0,0,0,MEDIUM
TXN00003119,1,1198.29,0,0,LOW
TXN00003133,1,3287.47,1,0,MEDIUM
TXN00003156,1,1072.99,0,0,MEDIUM
TXN00003160,2,12828.71,1,1,CRITICAL
TXN00003165,1,2714.54,0,0,MEDIUM
TXN00003168,1,2132.64,1,0,MEDIUM
TXN00003172,1,,1,0,LOW
TXN00003173,1,3014.0,0,0,LOW
TXN00003193,1,2273.34,0,1,CRITICAL
TXN00003201,1,993.95,0,0,LOW
TXN00003213,1,1246.38,1,0,HIGH
TXN00003221,1,574.0,0,0,MEDIUM
TXN00003229,1,12194.3,1,0,MEDIUM
TXN00003234,1,8014.91,0,0,HIGH
TXN00003242,1,1561.56,0,0,LOW
TXN00003248,1,10277.41,1,1,CRITICAL
TXN00003257,1,198.46,0,0,LOW
TXN00003264,1,1771.56,1,0,HIGH
TXN00003276,1,,0,0,LOW
TXN00003290,1,991.51,0,0,HIGH
TXN00003293,1,2045.0,0,0,MEDIUM
TXN00003302,1,1169.68,0,0,MEDIUM
TXN00003304,1,6448.11,0,0,MEDIUM
TXN00003306,1,2280.54,1,0,MEDIUM
TXN00003314,1,1814.0,1,0,LOW
TXN00003335,1,1426.02,1,0,HIGH
TXN00003338,2,8032.32,1,0,MEDIUM
TXN00003340,1,1823.47,0,0,MEDIUM
TXN00003341,1,635.0,0,0,LOW
TXN00003351,1,1160.82,1,0,HIGH
TXN00003364,1,2940.2,0,0,LOW
TXN00003371,1,737.83,1,0,LOW
TXN00003379,1,5587.77,1,1,CRITICAL
TXN00003383,1,1589.0,0,0,LOW
TXN00003403,1,,1,0,MEDIUM
TXN00003408,1,895.1,1,0,MEDIUM
TXN00003431,1,3242.15,1,0,MEDIUM
TXN00003443,1,,1,0,LOW
TXN00003447,1,1984.96,0,0,MEDIUM
TXN00003450,1,,1,0,HIGH
TXN00003467,2,2945.66,0,0,MEDIUM
TXN00003485,1,485.1,1,0,LOW
TXN00003494,1,342.28,0,0,LOW
TXN00003495,1,2983.97,1,0,LOW
TXN00003496,1,1706.49,0,0,HIGH
TXN00003498,1,3661.3,0,0,MEDIUM
TXN00003501,1,717.53,0,0,MEDIUM
TXN00003505,1,1516.67,1,0,LOW
TXN00003513,1,754.13,0,0,MEDIUM
TXN00003514,1,1510.93,1,0,MEDIUM
TXN00003516,1,585.31,1,0,HIGH
TXN00003542,1,1085.0,0,0,LOW
TXN00003543,1,15742.98,0,0,LOW
TXN00003546,1,3229.57,0,0,MEDIUM
TXN00003553,1,3278.36,1,0,MEDIUM
TXN00003565,1,1723.81,0,0,HIGH
TXN00003574,1,3933.58,0,0,LOW
TXN00003575,1,,1,0,LOW
TXN00003581,1,3616.02,1,0,MEDIUM
TXN00003610,1,6753.79,0,0,LOW
TXN00003616,1,5374.95,0,0,LOW
TXN00003619,1,,1,0,MEDIUM
TXN00003622,1,409.07,1,0,MEDIUM
TXN00003628,1,2430.89,1,0,MEDIUM
TXN00003637,1,4219.82,1,0,HIGH
TXN00003640,1,2301.83,1,0,MEDIUM
TXN00003656,1,1011.36,0,0,LOW
TXN00003664,1,1000.95,0,0,MEDIUM
TXN00003670,1,2583.29,0,0,LOW
TXN00003675,1,1047.52,1,0,MEDIUM
TXN00003677,1,1364.35,0,0,LOW
TXN00003678,1,8722.75,0,0,HIGH
TXN00003720,2,829.38,2,0,HIGH
TXN00003721,1,,0,0,HIGH
TXN00003727,1,1284.94,0,0,MEDIUM
TXN00003732,1,5678.98,0,1,CRITICAL
TXN00003733,1,,0,0,LOW
TXN00003740,1,6434.35,1,0,LOW
TXN00003753,1,691.4,1,0,MEDIUM
TXN00003766,1,587.08,1,0,MEDIUM
TXN00003777,1,177.16,1,0,MEDIUM
TXN00003778,1,7597.0,1,0,MEDIUM
TXN00003784,1,3118.57,1,0,HIGH
TXN00003788,1,5092.34,1,0,LOW
TXN00003789,1,1061.09,1,0,MEDIUM
TXN00003808,1,476.92,0,1,CRITICAL
TXN00003810,1,861.41,1,0,MEDIUM
TXN00003813,1,5758.61,0,0,LOW
TXN00003828,1,1594.84,1,0,LOW
TXN00003833,1,1688.18,1,0,MEDIUM
TXN00003837,1,723.24,1,0,HIGH
TXN00003845,1,2182.0,0,0,HIGH
TXN00003850,1,5978.59,0,0,LOW
TXN00003853,1,2342.78,0,0,MEDIUM
TXN00003861,2,2991.3599999999997,1,1,CRITICAL
TXN00003879,1,,1,0,LOW
TXN00003881,1,,1,0,MEDIUM
TXN00003889,1,2760.0,0,0,HIGH
TXN00003908,1,6597.26,1,1,CRITICAL
TXN00003915,1,264.64,0,0,MEDIUM
TXN00003924,1,2479.92,0,0,MEDIUM
TXN00003927,1,875.3,0,0,LOW
TXN00003928,1,3481.55,1,1,CRITICAL
TXN00003962,1,12077.97,0,1,CRITICAL
TXN00003972,1,4309.44,1,0,LOW
TXN00003973,1,2121.87,1,0,LOW
TXN00003990,2,702.0,0,0,MEDIUM
TXN00004014,1,4940.23,0,0,HIGH
TXN00004018,1,11729.72,1,0,MEDIUM
TXN00004028,1,2255.0,1,0,HIGH
TXN00004035,1,4064.18,0,0,MEDIUM
TXN00004045,1,14158.32,1,0,LOW
TXN00004048,1,,1,0,LOW
TXN00004057,1,1149.72,1,0,MEDIUM
TXN00004061,1,2090.0,0,0,LOW
TXN00004070,1,3047.23,1,0,MEDIUM
TXN00004074,1,3617.74,0,0,LOW
TXN00004089,1,493.48,0,0,LOW
TXN00004094,1,2519.45,1,0,HIGH
TXN00004103,2,9729.66,0,0,MEDIUM
TXN00004108,1,5763.03,0,0,HIGH
TXN00004113,1,1173.86,0,0,HIGH
TXN00004115,1,1495.6,0,0,MEDIUM
TXN00004120,1,5701.53,1,0,LOW
TXN00004121,1,,1,0,HIGH
TXN00004134,1,794.23,1,0,HIGH
TXN00004140,1,378.0,1,1,CRITICAL
TXN00004153,1,3630.27,1,0,HIGH
TXN00004157,1,269.0,1,0,LOW
TXN00004164,1,3142.0,1,0,MEDIUM
TXN00004169,1,13744.99,0,1,CRITICAL
TXN00004174,1,26842.07,0,1,CRITICAL
TXN00004176,1,1105.82,0,0,HIGH
TXN00004185,1,7433.73,1,0,LOW
TXN00004247,1,1908.75,1,0,MEDIUM
TXN00004265,1,330.36,1,0,LOW
TXN00004267,1,3750.2,1,0,LOW
TXN00004271,1,2672.78,1,0,LOW
TXN00004276,1,,1,0,MEDIUM
TXN00004284,1,3737.05,0,0,MEDIUM
TXN00004293,1,830.77,0,0,MEDIUM
TXN00004321,1,2032.79,1,0,LOW
TXN00004325,1,,0,1,CRITICAL
TXN00004346,1,2582.05,0,0,LOW
TXN00004350,1,2131.37,1,0,LOW
TXN00004354,1,1370.0,1,0,MEDIUM
TXN00004367,1,2126.85,0,0,HIGH
TXN00004370,1,733.59,1,0,MEDIUM
TXN00004377,1,6954.75,1,0,LOW
TXN00004386,1,2691.36,1,0,MEDIUM
TXN00004392,1,272.46,0,0,LOW
TXN00004395,1,9572.0,1,0,MEDIUM
TXN00004411,1,3905.0,1,0,LOW
TXN00004425,1,1305.0,0,0,HIGH
TXN00004439,1,1706.04,0,0,HIGH
TXN00004455,1,559.19,0,0,MEDIUM
TXN00004472,1,,1,0,MEDIUM
TXN00004481,1,1101.44,0,1,CRITICAL
TXN00004488,1,2468.0,0,1,CRITICAL
TXN00004493,1,380.69,1,0,LOW
TXN00004507,1,2320.0,1,0,MEDIUM
TXN00004512,1,1358.0,1,0,LOW
TXN00004517,1,676.55,1,0,LOW
TXN00004549,1,1639.85,1,0,HIGH
TXN00004554,1,2266.29,1,0,MEDIUM
TXN00004555,1,889.98,1,0,HIGH
TXN00004562,1,,1,0,HIGH
TXN00004573,1,495.68,0,0,MEDIUM
TXN00004589,1,1100.37,1,0,MEDIUM
TXN00004590,1,799.39,1,0,HIGH
TXN00004594,2,577.53,2,0,MEDIUM
TXN00004610,1,5879.13,0,0,MEDIUM
TXN00004618,1,1142.86,0,0,LOW
TXN00004622,1,1330.95,0,0,MEDIUM
TXN00004638,1,1651.94,1,0,HIGH
TXN00004642,1,1778.23,1,0,MEDIUM
TXN00004644,1,,0,0,LOW
TXN00004668,1,,0,0,MEDIUM
TXN00004672,1,985.98,0,0,HIGH
TXN00004673,2,4655.030000000001,0,0,LOW
TXN00004675,1,258.2,1,0,HIGH
TXN00004686,1,1634.47,0,0,MEDIUM
TXN00004693,1,3249.99,1,0,LOW
TXN00004698,1,1942.99,0,0,LOW
TXN00004709,1,,1,0,LOW
TXN00004712,1,2950.32,0,1,CRITICAL
TXN00004716,1,169.35,0,0,MEDIUM
TXN00004717,1,22390.0,1,0,HIGH
TXN00004731,1,1385.0,0,0,HIGH
TXN00004746,1,579.06,1,0,HIGH
TXN00004747,1,11808.21,1,0,MEDIUM
TXN00004748,1,3976.68,0,0,LOW
TXN00004759,1,1027.78,0,0,LOW
TXN00004763,1,2865.75,1,0,MEDIUM
TXN00004771,1,5005.08,1,1,CRITICAL
TXN00004776,1,2319.55,0,0,HIGH
TXN00004779,1,1565.13,1,0,MEDIUM
TXN00004780,1,,1,0,HIGH
TXN00004782,1,779.81,0,0,MEDIUM
TXN00004797,1,3784.33,0,0,MEDIUM
TXN00004804,1,12097.84,0,0,HIGH
TXN00004814,1,,0,0,LOW
TXN00004821,1,165.89,0,0,LOW
TXN00004832,1,1582.6,1,0,MEDIUM
TXN00004835,1,11573.0,1,0,MEDIUM
TXN00004836,1,3723.0,1,0,LOW
TXN00004839,1,955.91,0,0,HIGH
TXN00004849,1,1212.0,1,0,MEDIUM
TXN00004880,1,,0,1,CRITICAL
TXN00004888,1,1625.15,1,1,CRITICAL
TXN00004890,1,,0,0,LOW
TXN00004896,1,1770.17,1,0,LOW
TXN00004903,1,639.26,1,0,MEDIUM
TXN00004922,1,,0,0,MEDIUM
TXN00004923,1,1673.05,0,0,LOW
TXN00004925,1,9977.75,0,0,MEDIUM
TXN00004927,1,1530.6,0,0,LOW
TXN00004932,1,595.39,0,0,LOW
TXN00004933,1,4720.79,0,0,LOW
TXN00004935,1,18552.59,0,0,LOW
TXN00004951,1,2386.57,1,0,HIGH
TXN00004956,1,1752.77,0,0,MEDIUM
TXN00004960,1,1327.87,0,0,LOW
TXN00004967,1,,0,0,LOW
TXN00004968,1,,1,0,HIGH
TXN00004984,1,1369.23,0,0,HIGH
TXN00004989,1,5305.63,1,0,MEDIUM
TXN00005001,1,4713.3,0,0,MEDIUM
TXN00005004,1,1095.0,0,0,MEDIUM
TXN00005006,1,216.3,1,0,LOW
TXN00005010,1,1290.35,1,0,MEDIUM
TXN00005013,1,1946.17,1,0,LOW
TXN00005021,1,7640.62,0,0,LOW
TXN00005025,1,1283.51,0,0,LOW
TXN00005028,1,1800.13,1,0,HIGH
TXN00005039,1,1582.19,0,0,HIGH
TXN00005048,1,2992.52,0,0,HIGH
TXN00005056,1,6278.49,1,1,CRITICAL
TXN00005059,2,5445.15,1,1,CRITICAL
TXN00005061,1,1535.65,0,0,HIGH
TXN00005079,1,1368.67,1,0,HIGH
TXN00005081,1,782.28,0,0,LOW
TXN00005083,1,448.0,0,0,MEDIUM
TXN00005084,1,12351.07,1,0,LOW
TXN00005100,2,,2,0,LOW
TXN00005107,1,1023.0,1,0,MEDIUM
TXN00005131,1,9968.68,1,0,MEDIUM
TXN00005136,1,1719.63,0,0,MEDIUM
TXN00005138,2,3046.37,2,0,MEDIUM
